Breed,Weight_kg
Doberman Pinscher,38.1
Golden Retriever,29.5
Dalmatian,27.1
Yorkshire Terrier,3.2
Shiba Inu,9.8
Australian Shepherd,23.4
Boxer,27.0
Brittany,16.0
French Bulldog,12.7
English Setter,31.1
Chinese Shar-Pei,23.6
Cairn Terrier,6.2
Norwegian Elkhound,23.4
Bull Terrier,29.9
Brittany,15.6
English Cocker Spaniel,13.8
Pembroke Welsh Corgi,13.2
Papillon,3.3
Poodle (Miniature),6.4
Great Pyrenees,40.0
Dogue de Bordeaux,47.4
German Shepherd Dog,27.6
Shih Tzu,5.9
Chihuahua,2.7
German Shorthaired Pointer,26.9
Chow Chow,28.5
Standard Schnauzer,18.5
Norwegian Elkhound,23.1
Bull Terrier,27.8
Pomeranian,2.0
Airedale Terrier,28.9
Rat Terrier,7.4
Yorkshire Terrier,3.2
Scottish Terrier,9.2
Havanese,4.8
Labrador Retriever,30.6
Belgian Malinois,28.9
Standard Schnauzer,16.9
Labrador Retriever,30.6
Chinese Shar-Pei,22.8
Siberian Husky,21.0
English Cocker Spaniel,14.1
Labrador Retriever,29.8
French Bulldog,12.7
Newfoundland,53.0
Poodle (Toy),2.3
Anatolian Shepherd Dog,46.9
Golden Retriever,30.1
Portuguese Water Dog,25.2
Russell Terrier,5.0
Labrador Retriever,27.6
Chow Chow,29.5
Anatolian Shepherd Dog,60.0
Giant Schnauzer,30.9
Dalmatian,25.7
Maltese,3.2
Newfoundland,59.0
Alaskan Malamute,35.7
Yorkshire Terrier,3.2
Labrador Retriever,30.6
Cardigan Welsh Corgi,14.6
Bernese Mountain Dog,39.3
Lhasa Apso,6.8
German Shepherd Dog,32.2
English Springer Spaniel,22.2
Newfoundland,53.6
Newfoundland,57.7
Poodle (Toy),2.4
Chow Chow,24.9
Beagle,11.7
Labrador Retriever,28.8
Scottish Terrier,9.0
Brussels Griffon,3.9
Australian Shepherd,20.2
Australian Shepherd,22.9
Great Pyrenees,42.0
Greater Swiss Mountain Dog,47.3
Norwegian Elkhound,23.5
Saint Bernard,65.6
Pekingese,6.4
Miniature Schnauzer,7.5
Mastiff,90.2
Tibetan Terrier,8.6
Chinese Shar-Pei,23.8
English Springer Spaniel,20.3
Pembroke Welsh Corgi,13.4
German Shepherd Dog,34.3
German Shepherd Dog,33.8
German Wirehaired Pointer,28.7
Soft Coated Wheaten Terrier,16.3
Great Dane,72.3
Old English Sheepdog,35.9
Cavalier King Charles Spaniel,6.7
Boykin Spaniel,12.5
Boxer,24.0
Shetland Sheepdog,8.6
Golden Retriever,30.5
Rottweiler,50.8
Bouvier des Flandres,40.2
Siberian Husky,20.6
Golden Retriever,29.7
Basset Hound,22.0
German Shepherd Dog,31.1
Soft Coated Wheaten Terrier,14.8
Giant Schnauzer,34.4
Greater Swiss Mountain Dog,48.8
Basset Hound,22.7
Russell Terrier,5.2
Italian Greyhound,4.9
Shih Tzu,6.1
Italian Greyhound,3.8
Pekingese,6.4
Flat-Coated Retriever,28.9
Alaskan Malamute,37.3
Chow Chow,24.4
French Bulldog,12.7
Keeshond,16.6
Staffordshire Bull Terrier,13.9
Boxer,11.5
Papillon,2.7
Poodle (Toy),2.4
Collie,30.9
English Springer Spaniel,19.6
Border Terrier,6.4
Shih Tzu,5.5
Poodle (Toy),2.3
Poodle (Standard),25.0
Bulldog,21.0
Labrador Retriever,32.6
German Shepherd Dog,32.9
Russell Terrier,4.5
French Bulldog,12.7
Boxer,19.4
Poodle (Toy),2.2
Havanese,5.6
Norwegian Elkhound,23.7
Beagle,10.2
Dachshund,10.2
Rottweiler,38.6
West Highland White Terrier,7.9
Vizsla,24.0
Flat-Coated Retriever,28.8
Great Dane,67.5
French Bulldog,12.7
Beagle,9.4
Whippet,15.0
American Staffordshire Terrier,26.3
German Shepherd Dog,32.1
Chihuahua,2.7
Rottweiler,53.6
Doberman Pinscher,34.5
Australian Shepherd,22.7
Labrador Retriever,32.2
Russell Terrier,5.9
Shiba Inu,8.7
Shih Tzu,5.9
Pekingese,6.4
Irish Wolfhound,50.8
German Shepherd Dog,32.7
Boston Terrier,7.6
Collie,29.4
English Springer Spaniel,20.4
Bullmastiff,55.7
Bulldog,21.0
Border Terrier,6.3
Papillon,3.8
Airedale Terrier,25.8
Golden Retriever,29.4
Belgian Malinois,29.3
Bulldog,20.9
Tibetan Terrier,10.9
Basset Hound,23.7
Airedale Terrier,28.3
Beagle,8.9
Bichon Frise,7.2
Irish Setter,29.3
Bichon Frise,7.0
Golden Retriever,29.7
Bulldog,21.3
Beagle,9.2
Alaskan Malamute,36.8
Cardigan Welsh Corgi,14.8
Chesapeake Bay Retriever,29.2
Miniature American Shepherd,14.4
Scottish Terrier,9.2
Papillon,3.3
Great Dane,65.7
Shetland Sheepdog,7.7
Great Dane,59.2
Vizsla,22.9
Havanese,4.2
Anatolian Shepherd Dog,45.6
Poodle (Miniature),5.7
Rottweiler,43.3
Bernese Mountain Dog,38.8
Siberian Husky,20.4
Great Dane,65.9
Poodle (Standard),24.1
Chesapeake Bay Retriever,33.8
English Springer Spaniel,20.0
Collie,29.0
Australian Shepherd,22.0
Chesapeake Bay Retriever,27.3
Cocker Spaniel,10.8
Standard Schnauzer,15.9
Yorkshire Terrier,3.2
Weimaraner,28.7
Brussels Griffon,4.2
German Shepherd Dog,31.3
Cardigan Welsh Corgi,13.8
Bernese Mountain Dog,39.9
Labrador Retriever,26.7
Leonberger,53.4
Golden Retriever,29.4
English Setter,31.4
Siberian Husky,24.1
Shiba Inu,8.9
Havanese,4.3
Labrador Retriever,32.2
Miniature American Shepherd,13.6
Bulldog,20.0
Bulldog,19.1
Saint Bernard,73.2
Bichon Frise,6.0
Boxer,21.5
Miniature Schnauzer,7.9
Shiba Inu,9.2
Flat-Coated Retriever,29.3
Standard Schnauzer,16.8
Labrador Retriever,33.0
Shetland Sheepdog,9.6
German Shepherd Dog,35.1
Tibetan Terrier,11.0
Rottweiler,44.6
Pomeranian,2.7
Havanese,4.5
Brittany,16.4
Chihuahua,2.7
Chow Chow,27.2
Pomeranian,2.7
Chow Chow,26.4
Boston Terrier,9.4
Staffordshire Bull Terrier,15.8
Dachshund,11.2
Australian Cattle Dog,19.9
Bouvier des Flandres,37.4
Miniature American Shepherd,12.7
German Wirehaired Pointer,27.3
Poodle (Toy),2.3
Poodle (Standard),28.7
English Setter,25.1
Labrador Retriever,32.0
Standard Schnauzer,17.6
Shetland Sheepdog,9.9
Pembroke Welsh Corgi,13.1
Alaskan Malamute,35.9
Doberman Pinscher,36.7
Beagle,12.0
Labrador Retriever,25.7
French Bulldog,12.7
Chesapeake Bay Retriever,25.7
Chihuahua,2.7
English Springer Spaniel,20.3
Akita,44.9
Saint Bernard,69.5
Papillon,3.7
Bulldog,19.2
Greater Swiss Mountain Dog,45.4
Dogue de Bordeaux,47.0
Bulldog,20.7
Chinese Shar-Pei,22.5
Pekingese,6.4
Australian Shepherd,20.7
Anatolian Shepherd Dog,45.9
Russell Terrier,4.5
Cardigan Welsh Corgi,14.9
Dalmatian,26.0
Beagle,10.4
Chihuahua,2.7
Pomeranian,2.9
English Cocker Spaniel,13.5
Labrador Retriever,30.5
Brittany,17.0
Lagotto Romagnolo,12.5
Pug,7.5
Doberman Pinscher,37.0
Labrador Retriever,27.5
Boxer,22.8
German Shorthaired Pointer,26.1
Cardigan Welsh Corgi,15.8
West Highland White Terrier,8.4
Rat Terrier,8.0
Dachshund,10.0
French Bulldog,12.7
Basset Hound,25.1
Rottweiler,43.4
Dachshund,7.9
Beagle,9.5
Havanese,4.5
Poodle (Miniature),5.3
Poodle (Standard),23.6
Dogue de Bordeaux,45.8
Cardigan Welsh Corgi,14.3
Coton de Tulear,4.7
Chihuahua,2.7
English Cocker Spaniel,13.9
Portuguese Water Dog,20.2
Yorkshire Terrier,3.2
Cocker Spaniel,10.9
Bulldog,19.7
Rottweiler,46.6
Border Terrier,6.2
Border Collie,16.5
Chihuahua,2.7
Australian Shepherd,22.8
Italian Greyhound,4.6
Labrador Retriever,29.4
Greater Swiss Mountain Dog,56.7
Pug,6.9
Cocker Spaniel,11.1
German Shepherd Dog,33.9
Pomeranian,2.1
Tibetan Terrier,11.1
Soft Coated Wheaten Terrier,16.8
English Springer Spaniel,21.6
Mastiff,78.5
American Staffordshire Terrier,22.3
Labrador Retriever,29.3
Bulldog,20.9
Bernese Mountain Dog,43.0
Rhodesian Ridgeback,33.9
Mastiff,69.2
Miniature Schnauzer,7.5
Boykin Spaniel,16.6
Dachshund,9.7
Cavalier King Charles Spaniel,6.4
Beagle,10.2
Shetland Sheepdog,9.5
Boykin Spaniel,14.6
Labrador Retriever,30.9
German Shepherd Dog,34.9
Anatolian Shepherd Dog,46.0
Basset Hound,19.7
Golden Retriever,30.0
Dachshund,8.9
Weimaraner,36.7
Golden Retriever,29.7
Papillon,3.1
Rat Terrier,7.1
Staffordshire Bull Terrier,14.1
Pembroke Welsh Corgi,13.1
German Shepherd Dog,35.0
Beagle,11.4
Collie,23.1
Bouvier des Flandres,33.9
French Bulldog,12.7
Pekingese,6.4
Shih Tzu,5.6
Bernese Mountain Dog,45.3
French Bulldog,12.7
Vizsla,22.1
Chihuahua,2.7
Yorkshire Terrier,3.2
Labrador Retriever,30.0
German Shorthaired Pointer,23.6
Pekingese,6.4
Rottweiler,50.1
Mastiff,85.8
Rottweiler,47.1
Portuguese Water Dog,23.5
Poodle (Standard),22.7
Great Pyrenees,41.2
Siberian Husky,23.0
Golden Retriever,27.3
Italian Greyhound,4.6
Poodle (Miniature),5.0
Pekingese,6.4
Belgian Malinois,27.6
Chinese Shar-Pei,23.4
German Wirehaired Pointer,25.9
Rottweiler,53.0
Rottweiler,51.7
Old English Sheepdog,34.4
Miniature Schnauzer,8.3
Portuguese Water Dog,22.5
Chesapeake Bay Retriever,29.6
Cardigan Welsh Corgi,14.1
Doberman Pinscher,31.5
Poodle (Toy),2.3
Australian Shepherd,22.1
Siberian Husky,19.5
Alaskan Malamute,35.9
French Bulldog,12.7
Pembroke Welsh Corgi,13.3
French Bulldog,12.7
Tibetan Terrier,10.8
Bernese Mountain Dog,41.2
Dalmatian,24.6
German Shorthaired Pointer,26.5
Lagotto Romagnolo,13.2
Weimaraner,32.0
Rottweiler,51.1
Italian Greyhound,5.1
Mastiff,78.6
Golden Retriever,28.5
Lhasa Apso,7.6
Collie,30.1
Miniature American Shepherd,13.6
Bernese Mountain Dog,43.0
Dachshund,7.1
Pug,6.9
Poodle (Toy),2.1
Siberian Husky,21.6
Golden Retriever,29.9
Siberian Husky,20.8
Alaskan Malamute,36.0
Poodle (Standard),23.1
Shih Tzu,5.9
Cocker Spaniel,11.3
Whippet,14.6
English Springer Spaniel,21.1
Rat Terrier,8.5
Golden Retriever,30.0
Chesapeake Bay Retriever,30.0
Bouvier des Flandres,40.2
Labrador Retriever,29.8
German Shorthaired Pointer,27.4
Giant Schnauzer,31.4
Airedale Terrier,26.6
Airedale Terrier,29.4
Tibetan Terrier,12.7
Rhodesian Ridgeback,32.6
Coton de Tulear,5.5
Cavalier King Charles Spaniel,7.0
Bull Terrier,28.0
Saint Bernard,72.2
Collie,26.2
English Setter,24.7
Bulldog,20.1
Yorkshire Terrier,3.2
Tibetan Terrier,9.2
Bull Terrier,29.6
Cocker Spaniel,12.4
Old English Sheepdog,40.6
Golden Retriever,30.4
German Shorthaired Pointer,25.9
German Shorthaired Pointer,24.1
Mastiff,85.4
Beagle,6.9
Golden Retriever,30.6
Pomeranian,2.0
German Shepherd Dog,31.0
Giant Schnauzer,27.6
Cairn Terrier,6.1
Boston Terrier,7.9
Miniature American Shepherd,14.3
West Highland White Terrier,8.3
Miniature American Shepherd,15.3
Bullmastiff,54.3
Whippet,14.6
Siberian Husky,21.9
Norwegian Elkhound,23.7
Yorkshire Terrier,3.2
Poodle (Miniature),5.9
Labrador Retriever,31.9
English Setter,30.1
West Highland White Terrier,8.0
Keeshond,18.1
Golden Retriever,28.8
Coton de Tulear,5.6
Yorkshire Terrier,3.2
Bichon Frise,6.6
German Shepherd Dog,31.1
Cairn Terrier,6.1
English Setter,32.1
Bull Terrier,28.8
Anatolian Shepherd Dog,52.8
Cocker Spaniel,11.2
Pomeranian,1.8
Dachshund,8.5
Russell Terrier,6.1
Beagle,7.7
Papillon,4.3
Chinese Shar-Pei,21.9
Australian Shepherd,24.7
Maltese,3.2
Boykin Spaniel,14.6
Pug,7.3
Poodle (Standard),23.1
Chow Chow,27.4
French Bulldog,12.7
Anatolian Shepherd Dog,46.6
Basenji,10.2
Mastiff,81.5
Pembroke Welsh Corgi,12.9
Rhodesian Ridgeback,34.2
Shih Tzu,6.7
Doberman Pinscher,36.2
Dachshund,8.7
Brittany,15.8
Bouvier des Flandres,40.2
Boxer,18.3
Bouvier des Flandres,36.6
Scottish Terrier,9.5
German Shepherd Dog,32.2
Cardigan Welsh Corgi,11.9
Old English Sheepdog,38.8
Labrador Retriever,29.0
Pomeranian,2.1
German Shepherd Dog,35.3
Dogue de Bordeaux,47.4
Rat Terrier,8.1
Flat-Coated Retriever,29.1
German Shorthaired Pointer,28.5
Cairn Terrier,6.2
Boston Terrier,9.6
Dachshund,9.2
Chesapeake Bay Retriever,30.8
Boxer,23.4
Miniature Pinscher,4.0
Giant Schnauzer,33.8
Shih Tzu,5.1
Giant Schnauzer,33.0
Shih Tzu,6.0
French Bulldog,12.7
German Shorthaired Pointer,26.6
Weimaraner,29.9
Chinese Shar-Pei,26.1
Doberman Pinscher,32.6
Chihuahua,2.7
Poodle (Standard),26.2
Poodle (Toy),2.3
Boxer,25.6
Staffordshire Bull Terrier,15.6
Norwegian Elkhound,23.4
Golden Retriever,29.4
Bulldog,20.3
German Wirehaired Pointer,26.4
Vizsla,23.9
Border Collie,19.9
American Staffordshire Terrier,25.9
Newfoundland,58.3
Brussels Griffon,4.0
Newfoundland,55.3
Pomeranian,1.8
Bernese Mountain Dog,43.3
Great Pyrenees,43.7
Airedale Terrier,28.7
French Bulldog,12.7
German Shorthaired Pointer,26.8
Pekingese,6.4
Bernese Mountain Dog,35.5
Greater Swiss Mountain Dog,55.3
Pug,7.2
German Shepherd Dog,31.5
Shih Tzu,5.8
Miniature American Shepherd,17.3
Miniature American Shepherd,11.9
Old English Sheepdog,33.8
Collie,28.4
Bull Terrier,25.9
Lhasa Apso,7.0
Boykin Spaniel,14.9
Labrador Retriever,29.1
Border Collie,15.7
American Staffordshire Terrier,27.8
Rottweiler,50.3
Shiba Inu,8.4
Rhodesian Ridgeback,35.3
Poodle (Miniature),5.1
Chinese Shar-Pei,24.7
Tibetan Terrier,12.5
Vizsla,23.4
Cairn Terrier,6.1
Pomeranian,2.5
Labrador Retriever,31.5
Poodle (Miniature),5.6
Flat-Coated Retriever,29.5
Newfoundland,45.9
Chesapeake Bay Retriever,28.9
Saint Bernard,64.0
Samoyed,24.5
Collie,29.8
German Shepherd Dog,25.9
Leonberger,56.7
Shiba Inu,8.9
Golden Retriever,29.3
Irish Setter,28.9
Chow Chow,27.5
Miniature Schnauzer,6.9
Collie,28.1
Poodle (Miniature),5.4
Shiba Inu,9.1
German Shorthaired Pointer,24.1
Doberman Pinscher,37.3
Nova Scotia Duck Tolling Retriever,21.2
Chow Chow,26.2
Pekingese,6.4
Poodle (Standard),26.5
Boxer,15.4
Akita,35.9
Chihuahua,2.7
Shih Tzu,5.5
German Shepherd Dog,28.8
Shiba Inu,8.8
Bulldog,20.3
Yorkshire Terrier,3.2
Australian Shepherd,25.0
Golden Retriever,29.4
Doberman Pinscher,35.3
Labrador Retriever,26.7
Shih Tzu,5.0
German Shorthaired Pointer,29.6
Staffordshire Bull Terrier,16.5
German Shepherd Dog,30.7
Bernese Mountain Dog,40.3
Chinese Shar-Pei,23.4
Leonberger,42.0
Coton de Tulear,5.8
Airedale Terrier,29.2
Great Pyrenees,41.6
Cocker Spaniel,10.2
Labrador Retriever,34.0
Wirehaired Pointing Griffon,21.5
Labrador Retriever,29.3
Boxer,20.8
Golden Retriever,30.8
Irish Setter,29.1
Beagle,9.3
Labrador Retriever,29.6
Bullmastiff,55.7
Collie,26.1
West Highland White Terrier,7.0
Labrador Retriever,33.6
Bulldog,19.4
Papillon,3.8
Pembroke Welsh Corgi,13.2
Boston Terrier,7.9
Great Pyrenees,41.7
Shih Tzu,6.1
Irish Wolfhound,51.4
Chihuahua,2.7
Golden Retriever,31.6
Rat Terrier,8.6
Chihuahua,2.7
Airedale Terrier,27.9
Great Dane,63.1
Flat-Coated Retriever,28.9
Bouvier des Flandres,41.9
Bull Terrier,25.7
Cairn Terrier,6.1
Newfoundland,60.6
German Shorthaired Pointer,26.5
Portuguese Water Dog,22.3
Samoyed,18.7
Old English Sheepdog,38.7
Poodle (Toy),2.0
Boston Terrier,9.5
Pug,7.6
Alaskan Malamute,37.3
Poodle (Standard),27.0
Alaskan Malamute,36.8
Belgian Malinois,25.4
Vizsla,24.7
Havanese,4.3
French Bulldog,12.7
Great Pyrenees,41.6
Beagle,10.0
Poodle (Standard),26.2
Doberman Pinscher,40.9
Beagle,10.4
Miniature Pinscher,4.1
Norwegian Elkhound,23.8
Doberman Pinscher,34.0
Shih Tzu,5.7
German Shepherd Dog,32.4
French Bulldog,12.7
Italian Greyhound,5.3
Chinese Crested,4.2
Airedale Terrier,26.3
Miniature Schnauzer,7.3
Great Dane,60.8
Beagle,10.6
Shiba Inu,9.5
German Shepherd Dog,35.8
Pug,7.3
Italian Greyhound,4.1
Australian Cattle Dog,18.6
Australian Cattle Dog,19.0
Keeshond,18.9
Greater Swiss Mountain Dog,54.8
Border Collie,20.1
Yorkshire Terrier,3.2
Bulldog,21.0
Golden Retriever,28.6
Doberman Pinscher,39.8
Scottish Terrier,9.0
Rhodesian Ridgeback,35.3
Havanese,4.3
Bernese Mountain Dog,45.2
Havanese,3.6
Bulldog,20.8
Poodle (Standard),24.1
Doberman Pinscher,36.9
Labrador Retriever,33.1
Pug,7.3
Bulldog,21.4
Labrador Retriever,29.2
Boykin Spaniel,15.8
Bernese Mountain Dog,44.0
Miniature American Shepherd,13.2
German Shepherd Dog,34.5
Pembroke Welsh Corgi,13.3
French Bulldog,12.7
Bouvier des Flandres,37.8
French Bulldog,12.7
Irish Wolfhound,50.9
Golden Retriever,31.5
Old English Sheepdog,37.3
Italian Greyhound,4.7
Border Terrier,5.9
German Shepherd Dog,32.1
Pembroke Welsh Corgi,13.2
Boxer,25.8
Doberman Pinscher,34.1
Golden Retriever,29.8
Great Dane,66.6
Labrador Retriever,28.3
Poodle (Standard),29.0
Boston Terrier,9.1
French Bulldog,12.7
Bulldog,21.4
Bloodhound,43.6
Dalmatian,25.3
Cocker Spaniel,11.0
Labrador Retriever,28.2
German Shorthaired Pointer,25.9
Chihuahua,2.7
Mastiff,79.6
Poodle (Miniature),5.8
Boxer,25.4
English Cocker Spaniel,13.9
Collie,28.4
Border Collie,16.5
Newfoundland,57.6
Akita,43.1
Beagle,10.9
Samoyed,23.2
Rhodesian Ridgeback,36.1
German Shepherd Dog,30.7
Boston Terrier,7.6
Scottish Terrier,9.3
Dachshund,8.6
Poodle (Toy),2.2
Rottweiler,44.5
Dogue de Bordeaux,48.5
Airedale Terrier,28.9
Chinese Shar-Pei,23.6
Australian Cattle Dog,18.0
Maltese,3.2
Bichon Frise,6.9
Shiba Inu,9.4
Dogue de Bordeaux,47.9
Staffordshire Bull Terrier,14.3
Australian Shepherd,20.4
Rhodesian Ridgeback,35.4
Bull Terrier,28.2
Tibetan Terrier,11.9
Labrador Retriever,27.7
Cocker Spaniel,11.0
Wirehaired Pointing Griffon,25.0
Dachshund,12.7
Border Collie,20.1
Beagle,8.9
Bloodhound,41.9
Bulldog,19.9
Chesapeake Bay Retriever,32.0
Bull Terrier,25.8
Pomeranian,2.0
Portuguese Water Dog,20.7
Whippet,15.0
Border Terrier,5.7
Weimaraner,35.3
Rottweiler,55.1
German Shepherd Dog,36.4
Basset Hound,22.7
Mastiff,79.8
Pekingese,6.4
German Shepherd Dog,30.4
Shih Tzu,6.9
Norwegian Elkhound,23.3
Tibetan Terrier,9.3
Poodle (Standard),22.1
Scottish Terrier,9.7
Bernese Mountain Dog,41.3
Australian Shepherd,26.0
Rottweiler,45.9
Doberman Pinscher,33.5
Belgian Malinois,27.7
Akita,39.0
Doberman Pinscher,39.2
Greater Swiss Mountain Dog,47.0
Boykin Spaniel,15.3
Shetland Sheepdog,9.7
Wirehaired Pointing Griffon,25.3
Labrador Retriever,29.3
German Shepherd Dog,35.2
Weimaraner,33.4
Bull Terrier,23.1
Soft Coated Wheaten Terrier,14.5
Irish Wolfhound,54.1
Old English Sheepdog,36.6
Australian Cattle Dog,18.8
Cavalier King Charles Spaniel,7.2
Dogue de Bordeaux,46.5
Weimaraner,34.3
Belgian Malinois,23.3
Bull Terrier,26.0
English Springer Spaniel,21.6
Miniature American Shepherd,16.5
Labrador Retriever,30.5
Labrador Retriever,36.3
Australian Shepherd,24.3
Boston Terrier,8.0
Brittany,16.6
Whippet,14.2
Golden Retriever,29.6
Pug,7.5
Leonberger,53.8
French Bulldog,12.7
Lhasa Apso,6.6
Old English Sheepdog,34.3
Miniature Schnauzer,8.2
Russell Terrier,5.1
Yorkshire Terrier,3.2
Australian Cattle Dog,20.9
Poodle (Toy),2.1
Bloodhound,42.8
Scottish Terrier,9.2
Cavalier King Charles Spaniel,6.8
Cocker Spaniel,11.9
Poodle (Toy),1.9
Wirehaired Pointing Griffon,17.2
German Shepherd Dog,32.8
West Highland White Terrier,7.6
Old English Sheepdog,40.1
Labrador Retriever,32.1
Rottweiler,49.4
German Shorthaired Pointer,28.1
Whippet,15.5
Chow Chow,22.0
Golden Retriever,30.2
Bulldog,20.2
Newfoundland,53.1
West Highland White Terrier,7.9
Nova Scotia Duck Tolling Retriever,20.0
Cocker Spaniel,11.6
Poodle (Miniature),5.2
German Shepherd Dog,31.2
Boykin Spaniel,14.4
Poodle (Toy),2.2
Pomeranian,2.0
Portuguese Water Dog,20.3
Wirehaired Pointing Griffon,22.9
Labrador Retriever,33.7
Poodle (Miniature),5.8
Chow Chow,24.7
Maltese,3.2
Rottweiler,43.7
Pomeranian,2.2
Staffordshire Bull Terrier,15.0
Shih Tzu,6.0
Poodle (Standard),22.6
Cavalier King Charles Spaniel,7.0
German Shorthaired Pointer,24.6
German Shepherd Dog,28.8
Border Collie,14.6
Rhodesian Ridgeback,36.0
Havanese,4.1
Chinese Crested,4.6
Chesapeake Bay Retriever,28.4
Shiba Inu,9.4
Irish Wolfhound,50.6
Chesapeake Bay Retriever,28.4
Poodle (Standard),25.5
Alaskan Malamute,35.5
Boxer,18.2
Cavalier King Charles Spaniel,7.1
Poodle (Miniature),6.2
American Staffordshire Terrier,23.7
French Bulldog,12.7
Maltese,3.2
Giant Schnauzer,32.9
Labrador Retriever,29.0
Border Collie,16.8
Great Dane,69.6
Bulldog,20.1
Poodle (Toy),2.2
Maltese,3.2
Maltese,3.2
Beagle,9.3
Cavalier King Charles Spaniel,6.5
Poodle (Standard),28.7
Pekingese,6.4
French Bulldog,12.7
Yorkshire Terrier,3.2
Dachshund,6.9
Pug,7.7
Vizsla,24.1
Bernese Mountain Dog,38.1
Staffordshire Bull Terrier,14.2
Bichon Frise,7.2
German Shepherd Dog,31.2
Maltese,3.2
Poodle (Standard),27.9
Bloodhound,39.4
Beagle,9.9
Poodle (Toy),2.0
French Bulldog,12.7
Samoyed,22.8
Pembroke Welsh Corgi,13.2
Bulldog,21.1
Boston Terrier,7.8
English Springer Spaniel,19.8
Brussels Griffon,3.8
Cocker Spaniel,10.8
Bulldog,21.0
Shih Tzu,5.4
Saint Bernard,70.2
Shetland Sheepdog,8.3
Lhasa Apso,7.3
Great Dane,59.4
Old English Sheepdog,36.4
Miniature Pinscher,4.1
Havanese,4.1
German Wirehaired Pointer,29.0
German Shorthaired Pointer,28.2
Flat-Coated Retriever,29.5
Doberman Pinscher,37.2
Labrador Retriever,34.5
Yorkshire Terrier,3.2
Akita,47.3
Australian Cattle Dog,19.6
Vizsla,24.0
Doberman Pinscher,35.1
Wirehaired Pointing Griffon,22.5
Rottweiler,47.8
Papillon,3.3
Cardigan Welsh Corgi,13.7
Poodle (Standard),24.4
Portuguese Water Dog,19.7
Bull Terrier,25.8
Bernese Mountain Dog,39.6
Pembroke Welsh Corgi,13.1
Belgian Malinois,27.1
Boxer,19.0
Wirehaired Pointing Griffon,25.6
Nova Scotia Duck Tolling Retriever,19.4
Labrador Retriever,30.7
Chow Chow,26.8
Golden Retriever,31.8
Rat Terrier,9.6
Boykin Spaniel,14.1
Nova Scotia Duck Tolling Retriever,20.0
Anatolian Shepherd Dog,54.9
Poodle (Toy),2.3
Greater Swiss Mountain Dog,47.0
Norwegian Elkhound,23.1
Italian Greyhound,4.7
